176.14156401043218,-37.69616644521186,Judea,1
175.0946838848574,-38.56779175369986,Aria,2
174.93202704909822,-37.23293674875929,Buckland,3
174.74834685209746,-37.24982996805279,Waiuku,4
177.35338154838786,-38.02345332402786,Tirohanga,8
175.2611194680803,-37.79381099100932,Frankton,9
174.8120383813302,-37.14817521118453,Kingseat,10
175.91474513075863,-37.55053156381026,Katikati,11
174.89068607988224,-37.20570024132984,Pukekohe,12
176.18011705137832,-37.77937990060186,Ohauiti,13
176.19867832852614,-37.73727112540329,Welcome Bay,14
176.0677548895719,-37.68021510177352,Te Puna,16
175.26995711282711,-37.735918101681875,Rototuna,17
174.91242732985634,-37.93731625727113,Makomako,18
175.05544967447904,-38.23800276376643,Waitomo,19
175.9925997750373,-37.68469581890906,Whakamarama,20
175.281350168968,-37.76806184462459,Fairfield,21
175.29691194490115,-37.76905129963391,Enderley,22
174.87764940295597,-37.12306355331208,Karaka,23
174.9745750885015,-37.14836197804141,Ramarama,24
174.95901926509703,-37.265491963933904,Tuakau,25
175.4183705470833,-37.74294966026369,Eureka,27
175.13517000236436,-38.350543557018234,Te Kuiti,29
176.11493346126645,-37.69783729873599,Bethlehem,31
175.5518953565996,-38.236718555241815,Wharepuhunga,32
178.1062191428037,-38.52011269623648,Waimata,34
175.32714211653357,-37.994834088174784,Te Awamutu,35
176.96552644246776,-38.487089481187176,Te Urewera,38
177.3332209576779,-38.23198215101612,Waioeka,42
177.60146268133963,-38.549116719587076,Rere,44
177.4605473201972,-38.075181450972316,Toatoa,45
177.56702327768554,-38.266056427732295,Motu,47
177.5179169305279,-37.929090906824136,Hawai,48
177.86269826968885,-38.450183134041794,Te Karaka,49
177.62685744732124,-37.836380270501834,Omaio,50
177.7266803038917,-37.73491917869942,Te Kaha,51
177.76729710181428,-38.57218099773211,Ngatapa,52
177.84924198406682,-38.34546693284523,Whatatutu,53
177.88149796938924,-37.64885305075644,Waihau Bay,54
177.93657427363613,-38.52879657774542,Ormond,56
178.01783928899044,-37.58405077323167,Cape Runaway,61
178.07449908129084,-38.274306180494,Tauwhareparae,62
178.01551387371006,-38.63675725039109,Mangapapa,63
178.02912976188196,-38.626496394127706,Matokitoki,64
178.08870640247852,-37.670351829733185,Waikura Valley,65
178.2190188456818,-38.14276152898483,Tokomaru Bay,67
178.3572914494353,-37.68060433196419,Te Araroa,68
178.19821467334774,-37.58906826462701,Hicks Bay,69
176.1245241891187,-37.78829642389883,Pyes Pa,71
175.2456950189679,-37.72724155820554,Flagstaff,72
175.22148622492284,-37.736061857731784,Te Rapa Park,73
174.69609823663848,-38.430165968377544,Waikawau,74
174.7425199234412,-38.31343129242335,Marokopa,75
174.7254182118849,-38.57512031837444,Awakino,76
174.76422077618292,-37.3930940579189,Port Waikato,77
174.77414597116586,-38.173233121899145,Taharoa,78
174.78800832402376,-37.52310770833009,Waikaretu,79
174.88464790851594,-37.86065824770009,Raglan,81
174.82524067386134,-37.5951217063852,Matira,83
174.8503568658778,-38.562889425053704,Mahoenui,84
174.84271305214997,-38.03295243932277,Kawhia,85
174.87636152347272,-37.66275013920619,Te Akau,87
174.92679645864226,-38.40485842764379,Mangaotaki,88
174.85874536782302,-38.15105600332396,Owhiro,89
174.96649403775328,-38.11109111853068,Hauturu,92
174.93949977249832,-38.338797938872354,Pomarangai,93
174.96489426197417,-37.70175735045046,Waingaro,94
174.98611024411437,-38.47545314777986,Piopio,95
174.9458428405339,-37.59043443174104,Pepepe,97
175.00642334116185,-37.35237153712915,Pukekawa,98
175.01585721001385,-37.527209753117496,Ruawaro,99
175.04206411042182,-37.44556436639429,Churchill,101
175.04310434480155,-37.60661064079588,Glen Afton,102
175.0679529568289,-37.26863311768655,Mercer,103
175.0012404948166,-37.63325546287816,Pukemiro,104
175.04057902130577,-38.09280150302317,Te Rauamoa,105
175.07718484025972,-37.36409939903121,Hampton Downs,107
175.0429569453227,-37.57522617413964,Waikokowai,108
175.07613489916193,-37.5853167716313,Rotowaro,109
175.06523337161084,-37.66582926916788,Glen Massey,110
175.0305273905687,-38.129315140968686,Pirongia Forest Park,111
175.12077934449252,-38.44210676685562,Te Mapara,112
175.09953754737867,-38.13307517608363,Honikiwi,113
175.08298285931875,-37.51537852038315,Rotongaro,114
175.13920014932626,-37.78555471909775,Whatawhata,115
175.11701150774547,-37.450853623166125,Rangiriri West,116
175.14998883152887,-37.571519092475576,Huntly,117
175.15074999451946,-37.671141191660766,Ngaruawahia,118
175.11129115151633,-37.356033090925365,Whangamarino,122
175.1572809091963,-37.40160490615691,Te Kauwhata,125
175.1570826546967,-37.73690431043258,Te Kowhai,126
175.13720789398766,-37.513958336085366,Te Ohaki,129
175.2104110276027,-37.304120108519065,Maramarua Forest,131
175.21320330206402,-37.198521452247604,Mangatangi,133
175.23401576164744,-37.68923797562336,Horsham Downs,134
175.18773601029807,-37.71309090867813,Horotiu,135
175.1891652649827,-37.76152097915038,Rotokauri,136
175.16752858970727,-38.27299195929902,Hangatiki,138
175.25314380722708,-37.24794134152071,Maramarua,139
175.2676206253062,-37.37548122815187,Waerenga,140
175.24867676621108,-37.623548975219016,Taupiri,141
175.20993797015527,-37.74803023269492,Burbush,143
175.3242406173439,-37.92009632035478,Ohaupo,145
175.2872465843995,-37.55708645802857,Orini,146
175.23358388127102,-37.736512225615755,Pukete,147
175.22398466607874,-37.78073629640502,Grandview Heights,148
175.20457324047226,-38.418640351973664,Puketutu,149
175.22804857549858,-37.74404277777778,Northgate,150
175.233040234462,-37.75965241179153,Avalon,151
