170.42506,-45.89833,"Lvl0: Abbotsford, Dunedin",187,0
170.70064,-45.77726,Lvl0: Aramoana,279,0
170.45104,-45.91669,"Lvl0: Blackhead, Dunedin",192,0
170.32757,-45.94776,"Lvl0: Brighton, Dunedin",172,0
170.61184,-45.84889,"Lvl0: Broad Bay, Dunedin",261,0
170.57202,-45.60444,Lvl0: Bucklands Crossing,198,0
170.4539,-45.8997,"Lvl0: Burnside, Dunedin",191,0
170.62076,-45.80798,"Lvl0: Careys Bay, Dunedin",263,0
170.47862,-45.89833,"Lvl0: Caversham, Dunedin",204,0
170.37285,-45.89133,"Lvl0: Chain Hills, Dunedin",182,0
170.59948,-45.85943,"Lvl0: Company Bay, Dunedin",256,0
170.4725,-45.90567,"Lvl0: Corstorphine, Dunedin",197,0
170.62619,-45.79653,Lvl0: Deborah Bay,576,0
170.39599,-45.89836,"Lvl0: Fairfield, Dunedin",181,0
170.68463,-45.55363,Lvl0: Flag Swamp,271,0
170.49237,-45.84202,"Lvl0: Glenleith, Dunedin",214,0
170.66264,-45.43827,Lvl0: Glenpark,267,0
170.71072,-45.53852,Lvl0: Goodwood,276,0
170.43742,-45.90253,"Lvl0: Green Island, Dunedin",185,0
170.52258,-45.27897,Lvl0: Green Valley,205,0
170.72685,-45.79116,Lvl0: Harington Point,282,0
170.66952,-45.81455,Lvl0: Harwood,273,0
170.67776,-45.7761,Lvl0: Heyward Point,272,0
170.64449,-45.75538,Lvl0: Long Beach,566,0
170.67132,-45.83356,Lvl0: Lower Portobello,274,0
170.59274,-45.87049,"Lvl0: Macandrew Bay, Dunedin",249,0
170.56363,-45.86205,"Lvl0: Maia, Dunedin",248,0
170.64892,-45.38059,Lvl0: Makareao,265,0
170.67776,-45.46162,Lvl0: Meadowbank,275,0
170.61184,-45.77885,Lvl0: Mihiwaka,253,0
170.47608,-45.25642,Lvl0: Morrisons,184,0
170.57614,-45.80494,Lvl0: Mount Cargill,243,0
170.26989,-45.60032,Lvl0: Mount Stoker,167,0
170.33717,-45.8379,Lvl0: North Taieri,180,0
170.34387,-45.93905,"Lvl0: Ocean View, Dunedin",177,0
170.7066,-45.80494,Lvl0: Otakou,589,0
170.6544,-45.84202,"Lvl0: Portobello, Dunedin",268,0
170.55392,-45.86575,"Lvl0: Ravensbourne, Dunedin",242,0
170.59881,-45.8262,"Lvl0: Roseneath, Dunedin",255,0
170.37013,-45.90657,"Lvl0: Saddle Hill, Dunedin",585,0
170.57681,-45.84993,"Lvl0: Saint Leonards, Dunedin",247,0
170.6338,-45.87498,Lvl0: Sandymount,264,0
170.60216,-45.81884,"Lvl0: Sawyers Bay, Dunedin",254,0
170.30833,-45.92304,"Lvl0: Scroggs Hill, Dunedin",174,0
170.55554,-45.43003,Lvl0: Stoneburn,251,0
170.26806,-45.26084,Lvl0: Tiroiti,171,0
170.56478,-45.83091,"Lvl0: Upper Junction, Dunedin",240,0
170.54867,-45.77198,Lvl0: Upper Waitati,223,0
170.56103,-45.32704,Lvl0: Waihemo,244,0
170.40444,-45.9234,"Lvl0: Waldronville, Dunedin",183,0
170.59398,-45.71027,Lvl0: Warrington,246,0
170.62695,-45.36549,Lvl0: Waynes,257,0
170.3727,-45.93464,Lvl0: Westwood,588,0
170.50486,-45.85149,"Lvl0: Woodhaugh, Dunedin",228,0
168.6564,-46.46687,Lvl0: Ashers,489,0
169.49685,-46.17436,Lvl0: Ashley Downs,58,0
169.64654,-46.10981,Lvl0: Awamangu,94,0
168.3625,-46.50257,Lvl0: Awarua,436,0
167.67636,-45.80616,Lvl0: Blackmount,315,0
169.47076,-46.50807,Lvl0: Caberfeidh,71,0
169.30183,-46.58909,Lvl0: Chaslands,40,0
169.57962,-46.19137,Lvl0: Clifton,76,0
169.5202,-46.10432,Lvl0: Clydevale,66,0
169.09309,-46.6605,Lvl0: Curio Bay,551,0
168.15115,-46.14523,Lvl0: Drummond,373,0
169.37188,-45.6374,Lvl0: Ettrick,35,0
168.94401,-46.51012,Lvl0: Fortification,602,0
169.30183,-45.34352,Lvl0: Fruitlands,609,0
169.46115,-45.21305,Lvl0: Galloway,63,0
169.58612,-46.09333,Lvl0: Greenfield,79,0
168.30484,-46.54515,Lvl0: Greenhills,398,0
168.2966,-46.58085,Lvl0: Greenpoint,399,0
168.47511,-46.29658,Lvl0: Grove Bush,462,0
169.00902,-46.62812,Lvl0: Haldane,544,0
169.5614,-46.22654,Lvl0: Kaihiku,77,0
168.72047,-46.32739,Lvl0: Kamahi,502,0
169.61947,-46.40156,Lvl0: Katea,97,0
169.13568,-45.05787,Lvl0: Kawarau Gorge,690,0
169.51881,-45.96699,Lvl0: Kononi,69,0
168.46963,-45.77473,Lvl0: Lintley,456,0
169.47076,-45.31056,Lvl0: Little Valley,60,0
168.51083,-46.37348,Lvl0: Longbush,463,0
168.55064,-45.7816,Lvl0: Longridge North,473,0
168.94611,-45.23876,Lvl0: Lower Nevis,6,0
168.43255,-45.66349,Lvl0: Lowther,403,0
168.52641,-46.28499,Lvl0: Mabel Bush,464,0
169.46664,-46.53828,Lvl0: Maclennan,64,0
168.81845,-46.34877,Lvl0: Menzies Ferry,518,0
168.41882,-46.40232,Lvl0: Mill Road,451,0
169.06661,-46.42349,Lvl0: Mokoreta,552,0
167.61131,-45.78297,Lvl0: Monowai,314,0
168.41333,-46.47236,"Lvl0: Motu Rimu, Invercargill",448,0
170.14779,-45.45613,Lvl0: Ngapuna,568,0
169.12649,-46.59745,Lvl0: Niagara,555,0
