175.00820806506692,-37.2406877280619,Thomason Cres,Shouldbe: Pokeno,119473
176.03937313165972,-37.77793385355651,Poripori Rd,Shouldbe: Lower Kaimai,173966
176.04147911475954,-37.77457116125574,Poripori Rd,Shouldbe: Lower Kaimai,174131
176.050987991674,-37.752861141667715,Tebbutt Rd,Shouldbe: Lower Kaimai,174885
176.05090258085662,-37.75267691049489,Poripori Rd,"Shouldbe: Lower Kaimai, Minden",175518
176.09082,-37.715623451175475,Wairoa Rd,Shouldbe: Minden,175587
176.1113572475727,-37.71400422807162,Harrison Rd,"Shouldbe: Bethlehem, Tauriko",175594
176.07726577099706,-37.72783197614755,Vernon Rd,Shouldbe: Minden,176294
176.06788852566746,-37.726739350593625,Crawford Rd,Shouldbe: Minden,176420
176.05623954860155,-37.73828785460505,Crawford Rd,Shouldbe: Minden,176482
176.0907173622909,-37.71563159427276,Crawford Rd,Shouldbe: Minden,176548
176.08158777458593,-37.72205359757962,Crawford Rd,Shouldbe: Minden,176570
176.056680652896,-37.7207000768113,Junction Rd,Shouldbe: Minden,176894
176.0793693395803,-37.70927835993543,Oliver Rd,Shouldbe: Minden,176966
176.0760791986403,-37.71258493038726,Walden Lane,Shouldbe: Minden,177709
176.0771519560862,-37.70675721317724,Oliver Rd,Shouldbe: Minden,177843
176.05641152033112,-37.72066030406623,Junction Rd,Shouldbe: Minden,178036
176.07031539607712,-37.70949079215425,Hakao Rd,Shouldbe: Minden,178180
176.03319256428682,-37.71506189890879,Waiata Rd,Shouldbe: Minden,179782
176.04866443132138,-37.700220718404246,Quarry Rd,Shouldbe: Minden,180066
175.99872812851976,-37.73085849326819,Leyland Rd,Shouldbe: Whakamarama,180099
175.99162766486813,-37.734463898289526,Leyland Rd,Shouldbe: Whakamarama,180212
176.05001683461103,-37.699527523079404,Quarry Rd,Shouldbe: Minden,180245
175.26180109999999,-37.7685089,Beerescourt Rd,Shouldbe: Beerescourt,819024
175.2619167,-37.768394,Beerescourt Rd,Shouldbe: Beerescourt,819039
175.26258843633448,-37.76779241797788,Beerescourt Rd,Shouldbe: Beerescourt,819124
175.26341,-37.767014879358584,Beerescourt Rd,Shouldbe: Beerescourt,819232
175.25757119123134,-37.76427738767699,Cunningham Rd,Shouldbe: Beerescourt,819281
175.25572839999998,-37.7627948,Cunningham Rd,"Shouldbe: Beerescourt, St Andrews",819306
175.26293475964357,-37.76559926974639,Beerescourt Rd,Shouldbe: Beerescourt,819359
175.24899109999998,-37.7607393,Mahana Rd,Shouldbe: Te Rapa,819361
175.2491066,-37.7606664,Mahana Rd,Shouldbe: Te Rapa,819372
175.2547996,-37.7619677,Hampton Pl,"Shouldbe: Beerescourt, St Andrews",819398
175.24978390946276,-37.76029671696514,Mahana Rd,Shouldbe: Te Rapa,819432
175.2623372,-37.7645746,Beerescourt Rd,Shouldbe: Beerescourt,819443
175.2540515,-37.7614407,Cotton St,"Shouldbe: St Andrews, Te Rapa",819467
175.26204819999998,-37.7640194,Beerescourt Rd,Shouldbe: Beerescourt,819488
175.2552046,-37.760534899999996,Forsyth St,Shouldbe: St Andrews,819503
175.253509,-37.7601947,Glasgow St,"Shouldbe: St Andrews, Te Rapa",819575
175.2552061,-37.7605074,Cotton St,Shouldbe: St Andrews,819602
175.2544462368066,-37.759758875455525,Forsyth St,Shouldbe: St Andrews,819602
175.25814076679,-37.76087969011101,Kingsley St,Shouldbe: St Andrews,819619
175.25216092847984,-37.758973814068014,Mahana Rd,"Shouldbe: St Andrews, Te Rapa",819652
175.2544004,-37.7596708,Forsyth St,Shouldbe: St Andrews,819654
175.25445071483816,-37.75974296838746,Bowen Pl,Shouldbe: St Andrews,819654
175.26086901115576,-37.761959898455665,Beerescourt Rd,"Shouldbe: Beerescourt, St Andrews",819655
175.25328896408686,-37.75845408642222,Forsyth St,"Shouldbe: St Andrews, Te Rapa",819661
175.2568157,-37.7592741,Heath St,Shouldbe: St Andrews,819700
175.25329830350054,-37.75843336498105,Mahana Rd,"Shouldbe: St Andrews, Te Rapa",819746
175.2561466,-37.7586264,Heath St,Shouldbe: St Andrews,819787
175.25421320900855,-37.75678865828853,Croall Cres,Shouldbe: St Andrews,819819
175.2550312,-37.7576003,Heath St,Shouldbe: St Andrews,819829
175.25615439999999,-37.7586127,Hilton Rd,Shouldbe: St Andrews,819829
175.26016501521295,-37.75983646700872,Minchin Cres,"Shouldbe: Beerescourt, St Andrews",819847
175.26014787291962,-37.759836100352615,Beerescourt Rd,"Shouldbe: Beerescourt, St Andrews",819847
175.25862239103395,-37.75811420838558,Taylor Terrace,Shouldbe: St Andrews,819869
175.25425721015557,-37.756778652186675,Heath St,Shouldbe: St Andrews,819894
175.25023420370664,-37.75515437483563,Jamieson Cres,"Shouldbe: St Andrews, Te Rapa",819911
175.25371559099844,-37.75600762408877,Heath St,Shouldbe: St Andrews,819951
175.25178499999998,-37.755886600000004,Jamieson Cres,Shouldbe: St Andrews,819953
175.25177150716118,-37.75588150716117,Gudex Crt,Shouldbe: St Andrews,819953
175.25519961595515,-37.756455855066186,Dover Rd,Shouldbe: St Andrews,819954
175.25758561845015,-37.757887248106044,Hilton Rd,Shouldbe: St Andrews,819954
175.2586222,-37.7580927,Braid Rd,Shouldbe: St Andrews,819969
175.25815628181007,-37.757651794802875,Taylor Terrace,Shouldbe: St Andrews,819969
175.25335360000003,-37.756079199999995,Croall Cres,Shouldbe: St Andrews,819989
175.2572605944934,-37.75605664848963,Taylor Terrace,Shouldbe: St Andrews,819999
175.2522847894667,-37.75554746439999,Jamieson Cres,Shouldbe: St Andrews,820005
175.2513395,-37.7545105,Gudex Crt,Shouldbe: St Andrews,820005
175.2533734,-37.755168399999995,Heath St,Shouldbe: St Andrews,820010
175.2600086,-37.7572901,Braid Rd,Shouldbe: St Andrews,820030
175.2527647393622,-37.755320097622935,Gudex Crt,Shouldbe: St Andrews,820045
175.252776,-37.7553283,Jamieson Cres,Shouldbe: St Andrews,820045
175.24959914950355,-37.7523827663357,Garland Dr,Shouldbe: St Andrews,820047
175.25239050094874,-37.75393203767294,Heath St,Shouldbe: St Andrews,820083
175.2587905,-37.7562018,Sandwich Rd,Shouldbe: St Andrews,820087
175.2598317,-37.7573691,Braid Rd,Shouldbe: St Andrews,820087
175.2458447,-37.752407,Cecil St,"Shouldbe: St Andrews, Te Rapa",820097
175.26003311445683,-37.757261327530955,Braid Rd,Shouldbe: St Andrews,820102
175.24635665425401,-37.75216102809035,Mears Rd,Shouldbe: St Andrews,820114
175.25097795230187,-37.753596626918224,Garland Dr,Shouldbe: St Andrews,820114
175.25064377139483,-37.7538086285837,Garland Dr,Shouldbe: St Andrews,820124
175.24633699999998,-37.7520922,Cecil St,Shouldbe: St Andrews,820144
175.2507324,-37.7534217,Garland Dr,Shouldbe: St Andrews,820158
