174.77942969080107,-36.81290891384214,Unmatched: Bayswater,North Shore City,1,198
174.78359965851988,-36.80763220928225,Unmatched: Belmont,North Shore City,1,205
174.46797124266502,-36.88086415235675,Unmatched: Bethells Beach,"",1,97
175.7852892421017,-37.09901694078012,Unmatched: Duck Creek,"",2,67
174.8996412671409,-36.88918665720934,Unmatched: Half Moon Bay,Manukau,1,8
174.7383397646365,-36.79530250895318,Unmatched: Hillcrest,North Shore City,1,160
174.7390050833732,-36.68994117778657,Unmatched: Long Bay,North Shore City,1,165
175.50306596286123,-36.839850380536134,Unmatched: Manaia,"",2,38
174.7617198350786,-36.775897759343465,Unmatched: Milford,North Shore City,1,23
174.44375714070293,-36.801235491314046,Unmatched: Muriwai,"",1,89
174.746084837256,-36.73190517408681,Unmatched: Murrays Bay,North Shore City,1,175
174.7956385021561,-36.82427922056799,Unmatched: Ngataringa Bay,"",1,300
174.74570732154297,-36.80679060587752,Unmatched: Northcote,North Shore City,1,170
174.82101250214023,-36.87549135004023,Unmatched: Orakei Basin,"",1,298
174.82180329847762,-36.94881898623895,Unmatched: Otahuhu,Manukau,1,221
174.88050575822416,-36.95998489620222,Unmatched: Otara,Manukau,1,24
174.84752799259905,-36.90885136168974,Unmatched: Panmure Basin,"",1,230
175.00276017850229,-36.87887826930546,Unmatched: Pohutukawa Bay,"",1,318
174.76617788129678,-36.6272309972557,Unmatched: Polkinghornes Bay,"",1,196
175.7716095269567,-36.879717888819286,Unmatched: Purangi,"",2,317
174.59496486194303,-36.86146429808172,Unmatched: Ranui,Waitakere,1,114
175.6866519326002,-36.73511499498872,Unmatched: Rings Beach,"",2,55
174.71358697885876,-36.74595147172934,Unmatched: Rosedale,North Shore City,1,143
174.7729680716315,-36.79694617833286,Unmatched: Shoal Bay,"",1,291
174.67049213572736,-36.66190113952234,Unmatched: Silverdale,"",1,78
175.72128377509765,-36.777135024885524,Unmatched: Simpsons Beach,"",2,58
174.69422749796595,-36.632664679231006,Unmatched: Stillwater,"",1,134
174.997817723645,-36.87887832953725,Unmatched: Sunkist Bay,"",1,319
175.4953838600404,-36.97082244782542,Unmatched: Te Mata Bay,"",2,314
174.6524493389588,-36.93557632959046,Unmatched: Titirangi,Waitakere,1,118
174.74146049734182,-36.699912697352616,Unmatched: Torbay,North Shore City,1,20
174.92980925723916,-36.987901143900935,Unmatched: Totara Park,Manukau,1,257
174.87237145045296,-36.87623351771896,Unmatched: Wai O Taiki Bay,"",1,312
175.5153641662984,-36.59991894195184,Unmatched: Waikawau,"",2,41
174.6049208524864,-36.597699707202416,Unmatched: Wainui,"",1,120
174.73854503724465,-36.76939358392511,Unmatched: Wairau Valley,North Shore City,1,169
175.1194236128079,-37.104167858127035,Unmatched: Wairoa Reservoir,"",1,284
175.6553554324421,-36.7510988597332,Unmatched: Whangapoua Harbour,"",2,292
174.61049739896367,-36.79743496709123,Unmatched: Whenuapai,Waitakere,1,112
174.6102894270913,-36.78649395317175,Unmatched: Whenuapai,"",1,293
174.73705832966743,-36.74352637608287,Unmatched: Windsor Park,North Shore City,1,167
