169.1020253,-46.0966012,Kaiwera Rd,Shouldbe: Pukerau,10001
169.481819885791,-45.7527343382378,SH8,Shouldbe: Raes Junction,10004
168.786682606047,-45.7809856659345,Riversdale Waikaia Rd,"Shouldbe: Freshford, Waiparu",10038
168.575224868412,-45.8344094732367,SH94,Shouldbe: Balfour,10041
169.342689242549,-44.8195284983013,SH6,Shouldbe: Queensberry,10042
168.351447318203,-45.8959502346783,South Hillend Dipton Rd,Shouldbe: Dipton West,10048
168.903370660851,-46.1177892953065,Waimumu Rd,Shouldbe: Waimumu,10049
167.710974854947,-45.8459302455915,Clifden Blackmount Rd,"Shouldbe: Blackmount, Wairaki",10059
170.82625518005,-45.1587615650871,Kakanui Valley Rd,Shouldbe: Maheno,10061
170.9838239,-44.9937131,SH83,Shouldbe: Papakaio,10074
168.643083893686,-46.1898018135962,SH96,"Shouldbe: Dunsdale, Glencoe, Hedgehope, Pebbly Hill",10089
169.517312341838,-45.9647147465946,Tuapeka West Rd,Shouldbe: Kononi,10156
170.831875775355,-45.1597501978195,Kakanui Valley Rd,Shouldbe: Maheno,10165
168.146171844624,-45.9050142650815,Avondale Rd,Shouldbe: Castle Downs,10172
169.891807618418,-44.9323476501287,SH85,Shouldbe: Hills Creek,10196
168.434973078279,-45.6137103877224,SH97,Shouldbe: Lowther,10213
170.809061214153,-45.4574518547469,SH1,"Shouldbe: Bushey, Shag Point",10240
171.0998335,-44.782027,SH1,Shouldbe: Waimate,10266
168.2478070692,-46.3163271125928,Argyle Otahuti Rd,"Shouldbe: Oporo, Waianiwa, Wrights Bush",10269
168.72404286518,-46.3956717275235,Rimu Seaward Downs Rd,Shouldbe: Seaward Downs,10298
169.472422561997,-46.2432603022878,Hillfoot Rd,Shouldbe: Waiwera South,10302
169.518248050859,-45.9791735760519,Tuapeka West Rd,"Shouldbe: Kononi, Tuapeka Mouth",10305
170.836586288995,-45.165037016898,Kakanui Valley Rd,Shouldbe: Maheno,10390
170.025372943289,-46.0417251828998,Berwick Rd,Shouldbe: Clarendon,10405
169.321137209085,-45.5422769764635,Teviot Rd,Shouldbe: Roxburgh East,10434
170.251085268396,-45.3146353859005,SH87,Shouldbe: Hyde,10463
170.998444938322,-45.0045773236166,SH83,"Shouldbe: Papakaio, Pukeuri",10483
168.025742744721,-46.0191208637227,Otautau Nightcaps Rd,Shouldbe: Woodlaw,10536
170.523202847816,-45.2878820107846,SH85,"Shouldbe: Green Valley, Morrisons",10544
168.75592546763,-46.3091367303536,SH1,Shouldbe: Edendale,10595
168.9225612,-45.9855651,Knapdale Rd,Shouldbe: Chatton,10597
168.3412399,-46.2631238,SH6,Shouldbe: Ryal Bush,10599
168.944790591247,-46.5650027387983,Niagara Tokanui Hwy,Shouldbe: Tokanui,10619
169.338851840948,-46.2275785580289,SH93,Shouldbe: Clinton,10623
167.604134762873,-45.9833806126597,Lillburn Valley Rd,Shouldbe: Lillburn,10623
168.4966764587,-46.2078919275344,SH96,Shouldbe: Springhills,10632
168.025521313962,-46.0180120084301,Otautau Nightcaps Rd,"Shouldbe: Wairio, Woodlaw",10642
167.93263760057,-46.3549205117977,SH99,Shouldbe: Tihaka,10655
168.818061952931,-44.94252,Malaghans Rd,Shouldbe: Arrowtown,10657
168.332397949081,-46.014344910919,SH6,"Shouldbe: Benmore, Centre Bush, Kauana",10672
169.851937378674,-46.0821113349603,SH8,"Shouldbe: Glenore, Hillend, Table Hill",10700
169.337666522362,-45.8664236092059,SH90,"Shouldbe: Crookston, Heriot",10723
168.848918203666,-46.0105023522536,SH94,"Shouldbe: Mandeville, Otamita",10732
168.980657763355,-45.0324279977858,SH6,Shouldbe: Gibbston,10746
169.91447197626,-45.3451340711599,Linnburn Runs Rd,Shouldbe: Paerau,10764
168.3807336,-46.492379,SH1,Shouldbe: Awarua,10767
168.988706,-46.0811912,SH1,"Shouldbe: McNab, Willowbank",10784
168.1193107,-46.0567324,Bayswater Rd,"Shouldbe: Dunearn, Heddon Bush",10799
169.598366602207,-46.2377387676172,SH1,"Shouldbe: Kaihiku, Te Houka",10821
169.534191955535,-45.8246679487496,SH8,Shouldbe: Beaumont,10849
168.4521257,-45.6217481,SH97,Shouldbe: Lowther,10862
168.620299420425,-46.1897505565313,SH96,"Shouldbe: Hedgehope, Pebbly Hill",10881
170.787715236393,-45.4690892897707,SH1,"Shouldbe: Bushey, Shag Point",10939
168.3412301,-46.2666511,SH6,Shouldbe: Ryal Bush,10956
169.733042837549,-46.3516838467564,Owaka Hwy,"Shouldbe: Kaka Point, Romahapa",10959
169.859517337518,-46.0870354894325,SH8,"Shouldbe: Glenore, Hillend",10961
168.2464827,-46.3179148,Argyle Otahuti Rd,"Shouldbe: Oporo, Wrights Bush",10978
169.731324181359,-46.330546505758,Owaka Hwy,"Shouldbe: Kaka Point, Romahapa",10999
170.79312813804,-45.4677999627385,SH1,"Shouldbe: Bushey, Shag Point",11022
170.775648,-45.4697714,SH1,Shouldbe: Bushey,11041
170.775349249214,-45.4700143490281,SH1,Shouldbe: Bushey,11055
170.251224965754,-45.3081089383558,SH87,Shouldbe: Hyde,11066
168.518467812679,-45.8058409083062,SH94,"Shouldbe: Balfour, St Patricks",11082
169.838836356745,-45.8487475528855,Waipori Rd,Shouldbe: Waipori,11083
171.104013490674,-44.7650885328376,SH1,Shouldbe: Waimate,11117
168.4988855,-46.2133958,SH96,Shouldbe: Springhills,11117
169.996955913999,-45.1605986020037,Gimmerburn-Naseby Rd,Shouldbe: Gimmerburn,11128
