23,Parinui
87,Colyton
92,Waiouru Military Area
109,Ruahine Forest Park
171,Hatuma Lake
400,Moeawatea
424,Rere
428,Whakaipo Bay
429,Lake Otamangakau
436,Napier Airport
437,Pureora Forest Park
439,Whirinaki Forest Park
449,Kinloch
450,Tauhara
