172.68009,-43.46851,"Bottle Lake, Christchurch",282,146
171.19826,-44.38496,"Glenwood, Timaru",57,445
171.23394,-44.42204,"Redruth, Timaru",77,1384
172.97823,-42.96431,Motunau,325,972
172.70628,-43.64795,Charteris Bay,297,4062
171.24632,-44.41517,"Kensington, Timaru",73,679
171.18727,-44.38771,"Gleniti, Timaru",51,432
173.30679,-42.86116,Gore Bay,335,8794
173.06694,-43.80987,Goughs Bay,327,453
172.52664,-43.55377,"Hornby South, Christchurch",187,570
172.58661,-43.55961,"Hillmorton, Christchurch",214,8755
