174.4971723,-36.1509028,Lara Lane,Shouldbe: Kaiwaka,134
174.503841789993,-36.1483416024636,Valley Rd,Shouldbe: Kaiwaka,0
174.5035824,-36.148726,Settlement Rd,Shouldbe: Kaiwaka,0
174.4973935,-36.1533745,Lara Lane,Shouldbe: Kaiwaka,249
174.4977344,-36.1518306,Lara Lane,Shouldbe: Kaiwaka,134
174.4982888,-36.1504941,Lara Lane,Shouldbe: Kaiwaka,133
174.4963909,-36.1511871,Lara Lane,Shouldbe: Kaiwaka,134
174.506121848797,-36.1492815953476,Valley Rd,Shouldbe: Kaiwaka,7
174.539863965553,-36.1628897615432,Valley Rd,Shouldbe: Kaiwaka,2061
174.511218455448,-36.1499993809169,Valley Rd,Shouldbe: Kaiwaka,292
174.514161562348,-36.1502543310961,Valley Rd,Shouldbe: Kaiwaka,444
174.064071815436,-35.3787267851144,SH1,Shouldbe: Kawakawa,1241
173.9150038,-35.1529538,Stanners Rd,Shouldbe: Kerikeri,1111
173.912869558477,-35.1787666197285,Stanners Rd,Shouldbe: Kerikeri,274
173.9043551,-35.2838507,Waimate North Rd,Shouldbe: Kerikeri,818
173.897575671682,-35.2779244517524,Arthur Taylor Pl,Shouldbe: Kerikeri,1544
173.902708206376,-35.2656009912434,Waimate North Rd,Shouldbe: Kerikeri,2322
173.899957020737,-35.2719549333993,Waimate North Rd,Shouldbe: Kerikeri,1544
173.923182487208,-35.242522514297,Blue Gum Lane,Shouldbe: Kerikeri,120
173.901996657686,-35.2788273719519,Waimate North Rd,Shouldbe: Kerikeri,945
173.466072465694,-35.3275055112885,Paponga Rd,Shouldbe: Kohukohu,1347
173.459145124726,-35.3163631528597,Paponga Rd,Shouldbe: Kohukohu,0
173.481802824114,-35.3600034490189,West Coast Rd,Shouldbe: Kohukohu,144
173.460791049259,-35.3205811628443,Paponga Rd,Shouldbe: Kohukohu,464
173.463670148136,-35.325830148136,Paponga Rd,Shouldbe: Kohukohu,1093
174.182212559006,-35.7038843177014,Kokopu Rd,Shouldbe: Kokopu,455
174.197216412795,-35.717749145345,McKinley Rd,Shouldbe: Kokopu,441
174.174515937808,-35.7106254408256,Kokopu Rd,Shouldbe: Kokopu,498
174.183249088835,-35.7093038924854,Kokopu Rd,Shouldbe: Kokopu,860
174.555293326672,-36.055145564437,Tarata Pl,Shouldbe: Langs Beach,1738
174.792197988613,-36.3007433128725,Leigh Rd,Shouldbe: Leigh,504
174.7983643,-36.2952265,Leigh Rd,Shouldbe: Leigh,1089
174.792146084463,-36.3007082849783,Kourataki Rd,Shouldbe: Leigh,166
174.79525604901,-36.2983103028607,Leigh Rd,Shouldbe: Leigh,524
174.794387433043,-36.296976685222,Leigh Rd,Shouldbe: Leigh,843
174.796785336204,-36.2958808810863,Leigh Rd,Shouldbe: Leigh,850
174.792024586923,-36.3011300709583,Leigh Rd,"Shouldbe: Leigh, Ti Point",232
173.747649160446,-35.9123751297971,Babylon Coast Rd,"Shouldbe: Mamaranui, Omamari",0
174.492170234784,-36.3800207255792,Tauhoa Rd,Shouldbe: Mangakura,0
174.516914356285,-36.3852456716187,Tauhoa Rd,"Shouldbe: Dome Forest, Mangakura",156
174.518431056397,-36.3856928800187,Tauhoa Rd,"Shouldbe: Dome Forest, Kaipara Flats, Mangakura",188
174.246570121711,-35.8662851825665,Paparoa Rd,Shouldbe: Mangapai,10
174.292359530193,-35.942574880531,McConnell Rd,Shouldbe: Mangapai,47
174.267764180929,-35.8995129359683,Paparoa Rd,Shouldbe: Mangapai,115
174.229598410041,-35.8725194874484,Waiotira Rd,Shouldbe: Mangapai,234
174.261868753248,-35.9070674458605,Paparoa Rd,Shouldbe: Mangapai,0
174.249802266552,-35.8590818048362,Hayward Rd,"Shouldbe: Mangapai, Maungakaramea",1628
174.548619603129,-36.1569486349939,Ridge Way,Shouldbe: Mangawhai,0
174.55243510931,-36.1615676792536,Cames Rd,Shouldbe: Mangawhai,0
174.4985309,-36.1002097,Brown Rd,Shouldbe: Mangawhai,0
174.574157429006,-36.0748871430287,Woodleigh Lane,Shouldbe: Mangawhai,95
174.576154115558,-36.1105497256295,Molesworth Dr,Shouldbe: Mangawhai,76
174.5498794,-36.1585774,Cames Rd,Shouldbe: Mangawhai,0
174.57655669039,-36.1105520225392,Molesworth Dr,Shouldbe: Mangawhai,76
174.548547675471,-36.1569434290924,Cames Rd,Shouldbe: Mangawhai,0
173.558590697464,-35.0497821523986,Kohumaru Rd,Shouldbe: Mangonui,230
173.52529533488,-34.9884056051818,Mill Bay Rd,Shouldbe: Mangonui,20
173.564349863933,-35.0413015436255,Kohumaru Rd,Shouldbe: Mangonui,1430
173.550345318867,-35.061062440211,Kohumaru Rd,Shouldbe: Mangonui,0
173.5516942,-35.0668169,Kohumaru Rd,Shouldbe: Mangonui,257
173.554107815145,-35.0695103517288,Kohumaru Rd,Shouldbe: Mangonui,622
173.55472439097,-35.072758744085,Kohumaru Rd,Shouldbe: Mangonui,321
173.549759875143,-35.0850727942855,Kohumaru Rd,Shouldbe: Mangonui,0
173.554242431868,-35.0941638965753,Kohumaru Rd,Shouldbe: Mangonui,0
173.572344086934,-35.0024900082047,Hihi Rd,Shouldbe: Mangonui,2153
173.5715,-35.0003640770077,Hihi Rd,Shouldbe: Mangonui,0
173.542337464679,-35.0109235086339,Backriver Rd,Shouldbe: Mangonui,423
174.279432627352,-36.0371574996124,Paparoa-Oakleigh Rd,Shouldbe: Mareretu,26
174.307675667381,-36.0397540696647,Golden Stairs Rd,Shouldbe: Mareretu,1251
174.2794696,-36.0398832,Paparoa-Oakleigh Rd,Shouldbe: Mareretu,329
174.243114508266,-36.0423780722795,Arcadia Rd,Shouldbe: Mareretu,0
174.095116658996,-35.4815413716466,Matawaia Maromaku Rd,Shouldbe: Maromaku,1903
