172.76349976419027,-42.31950302122331,Saint James Range,13
172.9054460426562,-42.71352745564207,Amuri Plain,20
172.8374320987225,-42.65932236004252,Leslie Hills,21
173.17108902662358,-42.73012612439856,Lowry Hills Range,24
172.98391582745666,-41.47496497092606,Eighty Eight Valley,113
172.98279070543643,-41.416010393425616,Wai-iti,117
173.089210224569,-41.45000289990714,Wairoa Valley,131
173.19375204960846,-41.397572707415016,Aniseed Valley,136
173.2692746000935,-41.2683312289709,Stepneyville,146
173.4053712804982,-41.25424378156392,Hira Forest,160
173.26228796811967,-41.45099196116119,Mount Richmond Forest Park,162
170.9603633333334,-42.72796666666666,Ruatapu,171
170.99348926218212,-42.73064879177684,Kaniere,173
173.34070653364088,-42.464531949817165,Stag And Spey,214
173.63169206335493,-41.66496379670083,Waihopai Valley,215
173.5497293122556,-42.36366611244625,Inland Road,217
173.5973600743656,-41.51497165775384,Onamalutu,221
173.6554852918769,-42.366667235513056,Kaikoura Flat,224
173.90002063591928,-42.13165192858176,Waipapa Bay,242
173.9345156732526,-41.52982679340445,Burleigh,247
173.9318301062016,-41.47780942930243,Thomsons Ford,250
173.95483666666667,-41.53099666666666,Wither Hills,256
174.06695084231828,-41.5721319933911,Redwood Pass,276
174.12237406580152,-41.605956582289856,Lower Dashwood,279
172.55181346213894,-42.515524825428244,Tekoa Range,288
173.7542323545357,-42.282457399980636,Seaward Valley,290
171.26762578278985,-42.731076806273876,Turiwhate,294
