nzogps_name,nzogps_city,nzogps_region,nzogps_cityidx,nzsl_nameascii,nzsl_majornameascii,nzsl_id,secondary,comment
Glenbrook,,1,408,Glenbrook,Glenbrook,425,0,
Karamu,,14,116,Karamu,Karamu,659,,
Kinloch,,14,280,Kinloch,Taupo,2187,,
Otaua,,14,406,Otaua,Otaua,4102,,
Owhiro,,14,89,Owhiro,Oparau,4069,,
Whirinaki Forest Park,,2,431,Whirinaki Te Pua-a-Tane Conservation Park,Whirinaki Te Pua-a-Tane Conservation Park,2440,,
Island Block,,14,448,Island Block,Te Kauwhata,608,,
Kaingaroa,,2,367,Kaingaroa,Broadlands,2028,,
Motiti Island,,2,363,Motiti Island,Motiti Island,4517,,
