nzrsa_na,nzsal_na
Catlins Forest Park,Catlins Conservation Park
Colac Bay,Colac Bay/Oraka
Halfmoon Bay,Halfmoon Bay / Oban
Riverton,Riverton/Aparima
Waikouro,Waikoura
Gladstone,John Creek
Rock And Pillar,Rock and Pillar
