nzrsa_na,nzsal_na
Egmont National Park,Te Papa-Kura-o-Taranaki
Broadlands Forest,Broadlands
Maxwell,Pakaraka
Ngamahanga,Ngamahango
Pukawa,Pukawa Bay
Tahora,Tahoraparoa
Urewera National Park,Te Urewera
Waiouru Military Camp,Waiouru
