nzogps_name,nzogps_city,nzogps_region,nzogps_cityidx,nzsl_nameascii,nzsl_majornameascii,nzsl_id,secondary,force,comment
Silverdale,,1,77,Silverdale,Silverdale,8690,0,0,
Wainui,,1,119,Wainui,Wainui,2870,,,
Muriwai,,1,88,Muriwai,Muriwai,6526,,,
Credits,,1,300,Hauraki Gulf / Tikapa Moana,,8620,0,1,
Lion Rock,,1,306,Lion Rock,,4449,0,1,
