nzrsa_na,nzsal_na
Aoraki Mount Cook National Park,Aoraki/Mount Cook National Park
Burnham Camp,Burnham
Eyrewell Forest,Eyrewell
Franz Josef Glacier,Franz Josef/Waiau
Westland National Park,Westland National Park/Tai Poutini National Park
Rapaki,Te Rapaki-o-Te Rakiwhakaputa
Lincoln University,Lincoln
