nzogps_name,nzogps_city,nzogps_region,nzogps_cityidx,nzsl_nameascii,nzsl_majornameascii,nzsl_id,secondary,force,comment
Cobb Reservoir,,13,78,Kahurangi National Park,Kahurangi National Park,2752,1,0,
Moana,,16,202,Moana,Moana,2360,0,,
Mount Pleasant,,7,261,Mount Pleasant,Mount Pleasant,8701,0,,
Richmond,,13,55,Richmond,Richmond,2538,0,,
Waiau,,3,23,Waiau,Waiau,1770,0,,
Wairau Valley,,7,210,Wairau Valley,Wairau Valley,2260,0,,
