ogc_fid,tablename,regionname
1,Auckland,"Auckland"
2,BayofPlenty,"Bay of Plenty"
3,Canterbury,"Canterbury"
4,Gisborne,"Gisborne"
5,HawkesBay,"Hawke's Bay"
6,ManawatuWhanganui,"Manawatu-Wanganui"
7,Marlborough,"Marlborough"
8,Nelson,"Nelson"
9,Northland,"Northland"
10,Otago,"Otago"
11,Southland,"Southland"
12,Taranaki,"Taranaki"
13,Tasman,"Tasman"
14,Waikato,"Waikato"
15,Wellington,"Wellington"
16,WestCoast,"West Coast"
17,ChathamIslands,"Chatham Islands"





