district 
"Hauraki District"
"Matamata-Piako District"
"Otorohanga District"
"South Waikato District"
"Thames-Coromandel District"
"Waikato District"
"Waipa District"
"Hamilton City"
"Rotorua District"
"Taupo District"
"Waitomo District"
